NAME,groupId,att1f,att2f,att3f,att4f,att5f,att6f,att7f,att8f,att9f,att1v,att2v,att3v,att4v,att5v,att6v,att7v,att8v,att9v
Mary ,1,1,27,87,46,73,63,69,85,80,63,70,39,82,1,28,97,34,27
Robert ,2,30,53,26,45,31,34,53,56,68,35,31,95,75,27,14,13,94,24
Patricia ,4,2,66,28,8,7,28,34,67,69,37,17,4,67,44,75,45,58,65
John ,3,72,40,5,84,19,78,82,85,98,31,8,6,74,98,78,53,28,32
Jennifer ,3,19,11,15,53,13,19,56,34,31,66,3,85,95,67,39,10,93,91
Michael ,3,35,21,6,15,61,93,63,91,37,96,15,57,70,7,65,84,59,48
Linda ,2,81,82,69,51,56,60,73,22,97,28,91,31,25,92,14,7,1,27
William ,5,87,20,69,99,27,53,10,73,28,67,42,22,81,66,37,48,5,60
Elizabeth ,5,34,41,14,84,6,99,86,55,20,69,79,29,51,37,25,15,29,54
David ,5,3,43,59,99,11,43,60,58,42,17,42,1,85,82,60,88,99,87
Barbara ,4,93,55,86,47,33,82,55,89,74,20,78,9,35,16,6,88,48,94
Richard ,5,2,79,98,95,80,8,50,58,19,34,19,70,78,90,34,51,44,18
Susan ,3,33,38,18,14,55,77,23,54,94,48,66,37,38,24,58,86,84,39
Joseph ,2,5,90,98,17,50,33,34,57,43,6,80,94,45,36,34,94,86,20
Jessica ,3,54,70,40,3,74,5,97,87,98,52,66,51,28,49,38,74,83,77
Thomas ,1,79,45,9,5,89,43,32,45,34,96,30,71,8,92,92,42,3,90
Sarah ,5,15,56,37,61,10,81,65,57,57,25,97,57,52,38,63,10,86,58
Charles ,3,23,82,69,21,83,30,5,43,85,54,59,30,8,17,85,26,81,62
Karen ,3,5,8,76,45,89,35,95,13,86,87,40,64,93,10,68,58,37,98
Christopher ,3,47,77,32,30,63,2,97,83,37,12,6,44,41,9,63,53,4,52
Nancy ,1,61,97,41,58,3,27,58,32,94,16,53,97,89,28,4,55,76,51
Daniel ,2,49,94,60,11,41,13,11,45,3,96,34,84,94,58,46,12,62,28
Lisa ,1,53,49,50,10,49,68,80,8,34,97,66,40,59,10,97,16,71,2
Matthew ,3,69,33,85,52,3,58,44,15,61,22,60,21,56,30,26,93,12,4
Betty ,4,64,14,8,66,49,28,34,80,47,86,14,61,64,65,70,8,19,63
Anthony ,3,48,37,68,29,6,80,67,88,94,71,94,59,64,81,49,1,42,63
Margaret ,3,43,61,21,8,93,37,32,95,43,28,77,2,99,84,71,75,90,44
Mark ,5,64,72,47,93,40,16,35,4,24,74,47,13,69,6,30,91,91,72
Sandra ,2,88,37,84,55,37,16,95,34,32,3,66,44,18,23,24,86,12,47
Donald ,4,50,18,92,48,41,84,33,76,84,60,68,66,25,97,17,12,54,51
Ashley ,5,13,13,20,6,66,83,52,96,47,85,12,59,75,15,7,89,76,71
Steven ,4,59,96,68,82,75,23,10,38,57,1,45,7,97,46,23,53,17,66
Dorothy ,4,68,91,10,85,98,43,44,69,59,89,75,63,24,45,44,5,46,26
Paul ,4,74,25,42,43,34,15,54,32,6,62,99,84,4,52,67,9,92,68
Kimberly ,1,73,70,12,13,75,54,63,22,5,80,32,75,89,52,17,28,77,58
Andrew ,3,24,28,86,40,12,59,75,98,34,64,51,67,77,22,92,81,30,73
Emily ,2,71,34,33,91,83,66,92,55,78,85,73,66,51,33,33,60,77,77
Joshua ,1,25,51,26,54,65,49,51,74,9,51,49,23,63,64,69,99,1,66
Donna ,2,6,57,13,80,30,99,70,12,65,69,3,89,7,22,38,92,9,16
Kenneth ,3,84,18,49,10,81,43,77,94,30,46,52,45,92,9,58,42,10,38
Michelle ,1,69,91,51,41,59,59,99,91,74,38,31,60,65,73,92,18,6,50
Kevin ,4,16,84,44,35,36,58,45,56,43,39,85,25,63,35,44,12,76,85
Carol ,4,86,71,19,75,3,46,6,2,60,73,16,6,21,37,66,89,22,12
Brian ,4,84,68,32,86,54,41,40,22,91,95,84,54,89,54,94,88,28,73
